GAMOUS,BURIALSQUARE,NORS,SQ2,EORW,AREA,BURIALNUM,WESTTOHEAD,WESTTOFEET,SOUTHTOHEAD,SOUTHTOFEET,DEPTH,PRESERVATION,BURIALICON,BURIALICON2,SEX,SEXMETHOD,AGEATDEATH,AGEMETHOD,HAIRCOLOR,SAMPLE
164,160,N,0,W,NW,43,0.8,2.4,3,3,1.7,headless skeleton,B,A,M,pelv,,,,N
165,160,N,0,W,NW,44,3,4.5,4.9,4.7,1.3,wrapped,W,A,F,pelv,III-IV,pelv,Black,Y
166,160,N,0,W,NW,45,2.9,4.7,4.8,4.2,1.6,well-wrapped,W,A,M,pelv,I,pelv,Black,Y
167,160,N,0,W,NW,46,4.05,4.9,3.7,3.4,1.75,poorly preserved,H,C,S,skul,18 months,skul,ltbrwn,Y
168,160,N,0,W,NW,47,4.8,0,6.9,0,0.6,poorly preserved,H,A,M,skul,20-25 years,Skul,,Y
169,160,N,0,W,SW,1,3.2,3.8,2.8,2.8,0.9,well-wrapped,W,C,S,pelv,Infant,pelv,,
170,160,N,0,W,SW,2,2.8,3.5,1.9,1.9,1,bones,H,A,,,,,,
171,160,N,0,W,SW,3,2.4,4.13,1.77,1.59,1.18,well-wrapped,W,A,M,pelv,V,pelv,Brown,Y
172,160,N,0,W,SW,4,0.95,2.5,1.15,0.9,0.6,poorly preserved,H,A,M,pelv,V-VI,pelv,Brown,Y
173,160,N,0,W,SW,5,0,1.7,4.1,4.4,1,well-wrapped,W,A,F,pelv,IV-V,pelv,dkbrwn,Y
174,160,N,0,W,SW,6,3.3,0,3.85,0,0,bones and skull,B,A,M,pelv,IV,pelv,Brown,Y
175,160,N,0,W,SW,7,0.75,2.45,3.1,2.7,1.7,well-wrapped,W,A,F,pelv,I,pelv,Brown,Y
176,160,N,0,W,SW,8,4.07,2.6,4.9,4.4,1.4,wrapped,H,A,M,pelv,16+,skul,Brown,Y
177,160,N,0,W,SW,9,3.3,4.2,4.6,4.2,1.4,wrapped,W,C,S,skul,3-4 years,skul,ltbrwn,Y
178,160,N,0,W,SW,10,2.34,3.8,4.5,4.25,1.35,wrapped,W,A,F,pelv,30 years,pelv,dkbrwn,Y
179,160,N,0,W,SW,11,2.5,3.86,4.9,4.4,1.5,poorly preserved,W,A,F,pelv,I-II,pelv,Black,Y
180,160,N,0,W,SW,12,3.8,5.2,4.1,4,1.2,poorly preserved,W,A,M,pelv,I,pelv,Black,Y
181,160,N,0,W,SW,13,0.9,2.5,4.6,4.3,1.7,poorly preserved,W,A,F,pelv,I,pelv,dkbrwn,Y
182,160,N,0,W,SW,14,0.2,0.3,3.8,3.05,1.9,poorly preserved,B,C,S,pelv,3 years,pelv,,
183,160,N,10,E,NW,1,3.41,4.09,2.72,2.73,0.44,poorly preserved,B,C,S,pelv,3-4 years,skul,ltbrwn,Y
184,160,N,10,E,NW,2,3.41,4.09,2.72,2.73,0.44,poorly preserved,W,A,M,pelv,30-45 yrs,skul,dkbrwn,Y
185,160,N,10,E,NW,3,1.38,1.78,3.17,3.31,0.32,poorly preserved,H,C,S,skul,Newborn,skul,,
186,160,N,10,E,NW,4,2.47,4.12,2.33,2.15,0.59,poorly preserved,B,A,M,pelv,25-35 years,skul,brown,Y
187,160,N,10,E,NW,5,1.5,2.94,1,0.65,0.6,headless skeleton,H,C,S,pelv,15-20,pelv,,
188,160,N,10,E,NW,6,2.36,3.1,3.46,3.7,0.3,"wrapped, head showing",H,C,S,skul,18 months,skul,br-red,Y
189,160,N,10,E,NW,7,3.2,4.52,3.98,4,0.3,well-wrapped,W,C,S,pelv,9 years,skul,red,Y
190,160,N,10,E,NW,8,1.17,2.7,3.35,3.68,0.8,poorly preserved,H,C,S,pelv,14-16,skul,,Y
191,160,N,10,E,NW,9,2.95,3.3,0.92,0.88,0.96,wrapped,W,C,S,pelv,newborn,pelv,,
192,160,N,10,E,NW,10,2.75,3.5,1.18,0.98,0.96,poorly preserved,H,C,S,skul,4-5 years,skul,ltbrwn,Y
193,160,N,10,E,NW,11,4.8,-0.62,0.15,0.18,1,wrapped - bones showing,H,C,S,pelv,3-4 years,skul,br-red,Y
194,160,N,10,E,NW,12,4.44,-0.85,0.47,-0.06,0.96,poorly preserved,H,A,M,pelv,14-22,skul,dkbrwn,Y
195,160,N,10,E,NW,13,4.27,-0.6,0.24,-0.16,1.17,poorly preserved,B,A,F,pelv,40+,skul,dkbrwn,Y
196,160,N,10,E,NW,14,4.15,-0.38,0.21,-0.26,1.22,wrapped,W,A,F,pelv,25-30,skul,black,Y
197,160,N,10,E,NW,15,0.2,1.9,3.7,4.1,0.2,wrapped,W,A,M,pelv,22 years,skul,dkbrwn,Y
198,160,N,10,E,NW,16,0.54,1.38,2.45,2.4,0.3,wrapped,H,C,S,skul,5-6 years,skul,ltbrwn,Y
199,160,N,10,E,NW,17,0.4,1.05,1.98,1.9,0.8,poorly preserved,B,C,S,pelv,3-4 years,skul,brown,Y
200,160,N,10,E,NW,18,2.81,3.61,0.25,0,0.9,poorly preserved,H,C,S,skul,9 months,skul,,
201,160,N,10,E,NW,19,2.66,3.7,0.34,-0.15,0.96,poorly preserved,H,C,S,skul,4-5 years,skul,br-red,Y
202,160,N,10,E,NW,20,1.15,0,0.8,0,1,scattered bones,B,,,,,,,
203,160,N,10,E,NW,21,2.85,3.54,1.01,0.88,1.02,wrapped,W,C,S,skul,14 months,skul,red,Y
204,160,N,10,E,NW,22,2.51,0,2.27,0,1.48,Skull only,B,A,M,skul,20-25,skul,br-red,Y
205,160,N,10,E,NW,23,3.4,0,1.92,0,1.4,Skull only,B,A,M,skul,30-40,skul,,
206,160,N,10,E,NW,24,3.75,0,1.84,0,1.38,Skull only,B,A,M,skul,45+,skul,rd-bln,Y
207,160,N,10,E,NW,25,2.32,3.92,1.94,1.19,1.53,wrapped,W,A,M,skul,25-30,skul,dkbrwn,Y
208,160,N,10,E,NW,26,0,1.1,0,0.19,0.75,poorly preserved,B,A,,,,,,
209,160,N,10,E,SE,1,1.01,1.84,2.68,3.05,0.57,well-wrapped,W,C,S,pelv,infant,SKUL,brown,Y
210,160,N,10,E,SE,2,0.57,1.35,2.44,2.45,0.75,bones and skull,H,C,S,skul,18 mos,skul,red,Y
211,160,N,10,E,SE,3,0.89,1.3,4.41,4.3,0.8,wrapped - bones showing,H,A,,pelv,,,,
212,160,N,10,E,SE,4,0.71,2.07,4.3,4,0.88,wrapped,W,C,S,skul,infant,skul,,N
213,160,N,10,E,SE,5,4.25,4.64,3,2.95,0.66,wrapped,W,C,S,skul,infant,skul,ltbrwn,Y
214,160,N,10,E,SE,6,3.7,4.07,1.65,1.38,0.68,poorly preserved,H,C,S,skul,newborn,skul,red,Y
215,160,N,10,E,SE,7,3.83,4.41,1.75,1.53,0.68,wrapped - bones showing,H,C,S,skul,6 months,SKUL,br-red,Y
216,160,N,10,E,SE,8,3.39,4.08,1.67,1.37,0.61,wrapped,W,C,S,skul,3 years,SKUL,,
217,160,N,10,E,SE,9,3.31,0,1.06,0,0.63,Skull only,B,C,S,skul,youth,skul,,
